date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.0,3195.0,300.0,3821.0,1722.0,315.0,-126.0
2020-02-16,0.0,2403.0,-1373.0,2438.0,1582.0,-721.0,1.0
2020-02-17,0.0,2459.0,1382.0,1855.0,1847.0,5409.0,-246.0
2020-02-18,0.0,1555.0,161.0,1049.0,600.0,-1141.0,421.0
2020-02-19,0.0,1745.0,856.0,963.0,330.0,-1401.0,258.0
2020-02-20,0.0,2414.0,874.0,2167.0,1013.0,-1081.0,65.0
2020-02-21,0.0,867.0,-295.0,-423.0,401.0,2626.0,345.0
2020-02-22,0.0,1658.0,276.0,1953.0,835.0,756.0,-29.0
2020-02-23,0.0,-2133.0,-3148.0,-5986.0,-260.0,-975.0,102.0
2020-02-24,0.0,686.0,1110.0,-572.0,1356.0,8001.0,-384.0
2020-02-25,0.0,464.0,877.0,112.0,861.0,1571.0,145.0
2020-02-26,0.0,-875.0,-611.0,-80.0,305.0,1282.0,88.0
2020-02-27,0.0,1223.0,1326.0,91.0,1031.0,1342.0,48.0
2020-02-28,0.0,998.0,1678.0,-316.0,1646.0,5551.0,-137.0
2020-02-29,0.0,1760.0,1451.0,813.0,457.0,1375.0,132.0
2020-03-01,0.0,1057.0,-750.0,3840.0,1527.0,199.0,45.0
2020-03-02,0.0,1284.0,1914.0,-839.0,1393.0,8540.0,-412.0
2020-03-03,0.0,503.0,313.0,-379.0,75.0,1811.0,153.0
2020-03-04,0.0,1343.0,2031.0,141.0,623.0,1559.0,44.0
2020-03-05,0.0,1966.0,2143.0,1969.0,1286.0,1892.0,-203.0
2020-03-06,0.0,1464.0,1619.0,-238.0,1444.0,5820.0,-194.0
2020-03-07,0.0,3191.0,3663.0,403.0,343.0,1461.0,80.0
2020-03-08,0.0,4888.0,447.0,4504.0,2160.0,876.0,-26.0
2020-03-09,0.0,1806.0,1748.0,558.0,1580.0,8601.0,-511.0
2020-03-10,0.0,2168.0,3511.0,1315.0,741.0,1895.0,-57.0
2020-03-11,0.0,2009.0,10952.0,189.0,220.0,752.0,-169.0
2020-03-12,0.0,-2769.0,7374.0,-1863.0,-4158.0,-6511.0,1916.0
2020-03-13,0.0,-7117.0,2093.0,-3910.0,-7140.0,-4640.0,2950.0
2020-03-14,0.0,-12615.0,-5053.0,-3745.0,-6836.0,-3813.0,1366.0
2020-03-15,0.0,-13724.0,-5334.0,-1907.0,-9703.0,-6791.0,532.0
2020-03-16,0.0,-11575.0,-6776.0,-2844.0,-10410.0,-8646.0,3957.0
2020-03-17,0.0,-13215.0,-9134.0,-312.0,-11277.0,-14342.0,4709.0
2020-03-18,0.0,-12604.0,-8116.0,150.0,-11013.0,-15022.0,4681.0
2020-03-19,0.0,-12946.0,-7847.0,-846.0,-11547.0,-15181.0,4796.0
2020-03-20,0.0,-14897.0,-8519.0,-4511.0,-13010.0,-12478.0,5161.0
2020-03-21,0.0,-16514.0,-10839.0,-6494.0,-12007.0,-8645.0,1723.0
2020-03-22,0.0,-14184.0,-5500.0,-7562.0,-12677.0,-8983.0,579.0
2020-03-23,0.0,-12210.0,-8010.0,-4984.0,-12525.0,-11373.0,4597.0
2020-03-24,0.0,-12507.0,-6971.0,-3905.0,-12645.0,-15863.0,5288.0
2020-03-25,0.0,-14371.0,-9938.0,-5769.0,-13382.0,-16702.0,5637.0
2020-03-26,0.0,-14465.0,-10300.0,-4892.0,-13328.0,-16846.0,5624.0
2020-03-27,0.0,-15460.0,-10162.0,-4509.0,-14132.0,-14077.0,5535.0
2020-03-28,0.0,-16416.0,-11637.0,-1191.0,-11511.0,-9259.0,1499.0
2020-03-29,0.0,-14010.0,-5673.0,-10654.0,-12117.0,-9775.0,647.0
2020-03-30,0.0,-13141.0,-10034.0,-6563.0,-13737.0,-12865.0,4983.0
2020-03-31,0.0,-12969.0,-8277.0,-6371.0,-13751.0,-16827.0,5613.0
2020-04-01,0.0,-14229.0,-12267.0,-6929.0,-14021.0,-17425.0,5654.0
2020-04-02,0.0,-14202.0,-11583.0,-6751.0,-14165.0,-17587.0,5625.0
2020-04-03,0.0,-15550.0,-11991.0,-8950.0,-14805.0,-14926.0,5820.0
2020-04-04,0.0,-18677.0,-15124.0,-8856.0,-12839.0,-10396.0,1730.0
2020-04-05,0.0,-13218.0,3283.0,-10110.0,-12201.0,-7303.0,624.0
2020-04-06,0.0,-12356.0,-11759.0,-5594.0,-13169.0,-13441.0,4751.0
2020-04-07,0.0,-12396.0,-9367.0,-4825.0,-13028.0,-17420.0,5249.0
2020-04-08,0.0,-12017.0,-7697.0,-4896.0,-12848.0,-17527.0,4977.0
2020-04-09,0.0,-10982.0,-5517.0,-5051.0,-12423.0,-18283.0,5036.0
2020-04-10,0.0,-12767.0,-5588.0,-6922.0,-13922.0,-19176.0,5590.0
2020-04-11,0.0,-20088.0,-20441.0,-8925.0,-12830.0,-17129.0,1407.0
2020-04-12,0.0,-13261.0,-6173.0,-10799.0,-11693.0,-11361.0,545.0
2020-04-13,0.0,-18717.0,-29666.0,-8021.0,-13343.0,-34150.0,1756.0
2020-04-14,0.0,-13831.0,-14811.0,-7076.0,-14182.0,-18617.0,5700.0
2020-04-15,0.0,-12720.0,-11016.0,-6643.0,-13367.0,-17107.0,5435.0
2020-04-16,0.0,-12875.0,-11133.0,-5237.0,-13294.0,-16570.0,5354.0
2020-04-17,0.0,-13638.0,-9877.0,-6519.0,-13765.0,-13477.0,5308.0
2020-04-18,0.0,-16436.0,-11701.0,-5793.0,-11369.0,-7104.0,1520.0
2020-04-19,0.0,-12843.0,-5130.0,-9263.0,-12487.0,-7318.0,585.0
2020-04-20,0.0,-8494.0,-7081.0,66.0,-11511.0,-10961.0,3957.0
2020-04-21,0.0,-9647.0,-7413.0,514.0,-11510.0,-14900.0,4614.0
2020-04-22,0.0,-9562.0,-7436.0,404.0,-11363.0,-14913.0,4402.0
2020-04-23,0.0,-9209.0,-5930.0,2233.0,-11060.0,-14695.0,4221.0
2020-04-24,0.0,-10232.0,-5651.0,752.0,-11639.0,-11832.0,4238.0
2020-04-25,0.0,-13768.0,-7631.0,-1323.0,-10132.0,-7106.0,1339.0
2020-04-26,0.0,-9344.0,6976.0,2738.0,-9554.0,-3747.0,391.0
2020-04-27,0.0,-7210.0,-7224.0,1891.0,-10113.0,-9279.0,3429.0
2020-04-28,0.0,-7904.0,-4853.0,2590.0,-9994.0,-13679.0,3927.0
2020-04-29,0.0,-7710.0,-2536.0,-1875.0,-10710.0,-14017.0,4210.0
2020-04-30,0.0,-3947.0,9712.0,1918.0,-8228.0,-14425.0,2963.0
2020-05-01,0.0,-22340.0,-30479.0,224.0,-15444.0,-30830.0,3273.0
2020-05-02,0.0,-11889.0,-3604.0,3801.0,-9220.0,-9346.0,998.0
2020-05-03,0.0,-11655.0,-4385.0,781.0,-9810.0,-5848.0,269.0
2020-05-04,0.0,-4310.0,-4000.0,106.0,-9388.0,-8216.0,3161.0
2020-05-05,0.0,-6448.0,-4551.0,-1955.0,-10566.0,-12778.0,4168.0
2020-05-06,0.0,-6574.0,-4086.0,-2088.0,-10557.0,-12816.0,4282.0
2020-05-07,0.0,-5826.0,-2527.0,1171.0,-9303.0,-12101.0,3747.0
2020-05-08,0.0,-5707.0,-234.0,3525.0,-8555.0,-8944.0,3180.0
2020-05-09,0.0,-6675.0,-892.0,7537.0,-4608.0,-2849.0,394.0
2020-05-10,0.0,-6958.0,-187.0,10147.0,-5232.0,-1777.0,81.0
2020-05-11,0.0,-4498.0,-3251.0,-1727.0,-9315.0,-6826.0,3169.0
2020-05-12,0.0,-5346.0,-2605.0,-1021.0,-9638.0,-11483.0,3907.0
2020-05-13,0.0,-5492.0,-2921.0,-267.0,-9319.0,-11382.0,3661.0
2020-05-14,0.0,-5114.0,-1820.0,-175.0,-9439.0,-11397.0,3694.0
2020-05-15,0.0,-5796.0,-370.0,596.0,-9003.0,-8292.0,3353.0
2020-05-16,0.0,-6511.0,-1092.0,5170.0,-5641.0,-2074.0,650.0
2020-05-17,0.0,-7662.0,-973.0,7578.0,-5881.0,-1090.0,172.0
2020-05-18,0.0,-1994.0,-2080.0,1626.0,-7683.0,-5205.0,2482.0
2020-05-19,0.0,-3296.0,-2244.0,1423.0,-8123.0,-10114.0,3162.0
2020-05-20,0.0,-1898.0,-634.0,3598.0,-7204.0,-10057.0,2782.0
2020-05-21,0.0,-1472.0,615.0,3424.0,-6823.0,-10219.0,2744.0
2020-05-22,0.0,-2521.0,1376.0,4219.0,-6973.0,-6910.0,2670.0
2020-05-23,0.0,-4363.0,68.0,3112.0,-5662.0,-793.0,633.0
2020-05-24,0.0,-6668.0,-2048.0,3456.0,-6452.0,-643.0,202.0
2020-05-25,0.0,-1140.0,512.0,-903.0,-7810.0,-4848.0,2546.0
2020-05-26,0.0,-761.0,2830.0,1272.0,-6590.0,-8340.0,2324.0
2020-05-27,0.0,-2064.0,-1371.0,4296.0,-6596.0,-8878.0,2482.0
2020-05-28,0.0,-2196.0,171.0,1746.0,-7158.0,-8879.0,2786.0
2020-05-29,0.0,-1983.0,1807.0,3501.0,-6598.0,-5783.0,2459.0
2020-05-30,0.0,-2615.0,655.0,3817.0,-4802.0,1033.0,497.0
2020-05-31,0.0,-5226.0,-1952.0,4107.0,-5816.0,861.0,165.0
2020-06-01,0.0,4336.0,2785.0,6075.0,-4008.0,-2783.0,1249.0
2020-06-02,0.0,-1450.0,-1127.0,3328.0,-6067.0,-7920.0,2288.0
2020-06-03,0.0,-769.0,-102.0,4642.0,-5721.0,-8080.0,2162.0
2020-06-04,0.0,-606.0,850.0,5213.0,-5261.0,-7720.0,1941.0
2020-06-05,0.0,-2713.0,1333.0,772.0,-6728.0,-5265.0,2523.0
2020-06-06,0.0,-1200.0,916.0,9106.0,-1888.0,2799.0,-22.0
2020-06-07,0.0,-1826.0,-74.0,9423.0,-3523.0,1955.0,20.0
2020-06-08,0.0,119.0,198.0,1676.0,-5783.0,-2772.0,1618.0
2020-06-09,0.0,864.0,2048.0,3654.0,-5098.0,-7828.0,1805.0
2020-06-10,0.0,5913.0,15161.0,5030.0,-2131.0,-8552.0,466.0
2020-06-11,0.0,-10707.0,-24493.0,11720.0,-8529.0,-29817.0,3092.0
2020-06-12,0.0,4741.0,7763.0,10979.0,-5580.0,-15171.0,2517.0
2020-06-13,0.0,576.0,1870.0,11117.0,-1658.0,1432.0,-204.0
2020-06-14,0.0,2123.0,625.0,12868.0,767.0,5065.0,-434.0
2020-06-15,0.0,2585.0,2681.0,5566.0,-3146.0,-2149.0,882.0
2020-06-16,0.0,1788.0,2402.0,5669.0,-3897.0,-7073.0,1426.0
2020-06-17,0.0,1220.0,2132.0,5212.0,-4483.0,-7591.0,1467.0
2020-06-18,0.0,751.0,2289.0,3760.0,-4687.0,-7691.0,1451.0
2020-06-19,0.0,107.0,2433.0,2758.0,-4699.0,-4994.0,1670.0
2020-06-20,0.0,-127.0,1206.0,4789.0,-2740.0,3123.0,119.0
2020-06-21,0.0,-1408.0,-1249.0,6827.0,-3213.0,4317.0,5.0
2020-06-22,0.0,1713.0,1699.0,2522.0,-4180.0,-3417.0,1196.0
2020-06-23,0.0,3184.0,4302.0,5636.0,-3303.0,-7876.0,1180.0
2020-06-24,0.0,1489.0,2000.0,3913.0,-4403.0,-7988.0,1626.0
2020-06-25,0.0,2477.0,3417.0,7487.0,-3078.0,-7600.0,1023.0
2020-06-26,0.0,2664.0,4128.0,7439.0,-1889.0,-5060.0,872.0
2020-06-27,0.0,593.0,1272.0,10052.0,-211.0,3248.0,-469.0
2020-06-28,0.0,11417.0,11899.0,13299.0,2171.0,10656.0,-741.0
2020-06-29,0.0,624.0,-473.0,2422.0,-3730.0,-3869.0,1226.0
2020-06-30,0.0,3760.0,3310.0,7886.0,-2190.0,-7714.0,787.0
2020-07-01,0.0,3526.0,3563.0,7912.0,-2289.0,-8190.0,599.0
2020-07-02,0.0,3087.0,4214.0,6717.0,-2890.0,-8496.0,937.0
2020-07-03,0.0,2474.0,4082.0,7115.0,-2748.0,-5360.0,857.0
2020-07-04,0.0,2484.0,3265.0,11646.0,1096.0,3124.0,-735.0
2020-07-05,0.0,4225.0,2203.0,15172.0,1699.0,4760.0,-564.0
2020-07-06,0.0,3450.0,2845.0,5140.0,-2315.0,-4604.0,575.0
2020-07-07,0.0,4057.0,3906.0,7507.0,-2543.0,-9408.0,1030.0
2020-07-08,0.0,3441.0,2912.0,5390.0,-3496.0,-9362.0,1140.0
2020-07-09,0.0,4018.0,3894.0,7061.0,-2604.0,-9262.0,932.0
2020-07-10,0.0,3233.0,4482.0,8303.0,-1810.0,-6162.0,651.0
2020-07-11,0.0,2669.0,3059.0,6039.0,-221.0,1427.0,-201.0
2020-07-12,0.0,6215.0,3878.0,13862.0,3498.0,6468.0,-525.0
2020-07-13,0.0,4504.0,3212.0,6436.0,-1463.0,-5417.0,585.0
2020-07-14,0.0,4735.0,4279.0,9082.0,-1922.0,-9990.0,610.0
2020-07-15,0.0,5220.0,5097.0,9167.0,-1704.0,-9802.0,640.0
2020-07-16,0.0,4422.0,5056.0,5735.0,-2831.0,-10206.0,1207.0
2020-07-17,0.0,4024.0,5002.0,8645.0,-1816.0,-6865.0,763.0
2020-07-18,0.0,3383.0,3677.0,11897.0,1990.0,1987.0,-710.0
2020-07-19,0.0,5267.0,1901.0,15489.0,2387.0,3683.0,-519.0
2020-07-20,0.0,4353.0,3537.0,6556.0,-1047.0,-5525.0,513.0
2020-07-21,0.0,5080.0,5076.0,8946.0,-1750.0,-10087.0,800.0
2020-07-22,0.0,5638.0,5302.0,10372.0,-1619.0,-10399.0,671.0
2020-07-23,0.0,5500.0,5454.0,8682.0,-1552.0,-10407.0,747.0
2020-07-24,0.0,4632.0,6534.0,10295.0,-852.0,-7327.0,559.0
2020-07-25,0.0,4139.0,5043.0,13013.0,3283.0,1484.0,-928.0
2020-07-26,0.0,5030.0,2041.0,14766.0,3029.0,3520.0,-580.0
2020-07-27,0.0,4895.0,4231.0,8411.0,-463.0,-6966.0,307.0
2020-07-28,0.0,4060.0,4972.0,9261.0,-1794.0,-11234.0,930.0
2020-07-29,0.0,5979.0,6351.0,9936.0,-1282.0,-11467.0,765.0
2020-07-30,0.0,5895.0,6417.0,9134.0,-968.0,-11416.0,604.0
2020-07-31,0.0,5086.0,6172.0,10244.0,-607.0,-8454.0,495.0
2020-08-01,0.0,3857.0,4421.0,12397.0,3626.0,331.0,-941.0
2020-08-02,0.0,5985.0,2414.0,14297.0,3560.0,2879.0,-640.0
2020-08-03,0.0,4300.0,3693.0,4177.0,-1263.0,-8067.0,875.0
2020-08-04,0.0,3424.0,4663.0,5399.0,-2974.0,-12554.0,1723.0
2020-08-05,0.0,5898.0,5880.0,8793.0,-1470.0,-11936.0,884.0
2020-08-06,0.0,5777.0,6037.0,10309.0,-798.0,-11938.0,533.0
2020-08-07,0.0,4342.0,6136.0,11457.0,-1042.0,-9162.0,263.0
2020-08-08,0.0,3122.0,5155.0,13134.0,2975.0,-184.0,-969.0
2020-08-09,0.0,4672.0,1660.0,13848.0,2626.0,2035.0,-625.0
2020-08-10,0.0,5923.0,5369.0,7616.0,-271.0,-7620.0,97.0
2020-08-11,0.0,5358.0,6637.0,9432.0,-1267.0,-11932.0,565.0
2020-08-12,0.0,6712.0,7306.0,10098.0,-926.0,-11853.0,396.0
2020-08-13,0.0,6648.0,9097.0,10181.0,-345.0,-11995.0,235.0
2020-08-14,0.0,8141.0,17683.0,11137.0,440.0,-12466.0,353.0
2020-08-15,0.0,-7611.0,-24459.0,13114.0,1002.0,-13079.0,-221.0
2020-08-16,0.0,6981.0,2777.0,15170.0,3681.0,2249.0,-742.0
2020-08-17,0.0,461.0,879.0,1078.0,-561.0,-5163.0,121.0
2020-08-18,0.0,102.0,170.0,722.0,-822.0,-7522.0,1043.0
2020-08-19,0.0,229.0,186.0,818.0,-920.0,-7603.0,885.0
2020-08-20,0.0,136.0,116.0,1361.0,-715.0,-7506.0,325.0
2020-08-21,0.0,-338.0,89.0,1385.0,-779.0,-5694.0,337.0
2020-08-22,0.0,-1111.0,-970.0,1248.0,-310.0,-250.0,-573.0
2020-08-23,0.0,120.0,-38.0,1974.0,-65.0,167.0,-455.0
2020-08-24,0.0,264.0,256.0,888.0,-607.0,-3717.0,199.0
2020-08-25,0.0,193.0,167.0,1056.0,-690.0,-6801.0,695.0
2020-08-26,0.0,109.0,-10.0,909.0,-835.0,-6761.0,923.0
2020-08-27,0.0,128.0,194.0,970.0,-820.0,-6777.0,956.0
2020-08-28,0.0,1.0,254.0,1490.0,-690.0,-4529.0,407.0
2020-08-29,0.0,-599.0,-897.0,1306.0,-232.0,-171.0,-406.0
2020-08-30,0.0,1290.0,1620.0,977.0,-37.0,450.0,-506.0
2020-08-31,0.0,316.0,-45.0,551.0,-624.0,-3259.0,588.0
2020-09-01,0.0,318.0,412.0,436.0,-450.0,-6703.0,1249.0
2020-09-02,0.0,-83.0,191.0,595.0,-456.0,-5708.0,244.0
2020-09-03,0.0,-64.0,140.0,1069.0,-369.0,-5494.0,-191.0
2020-09-04,0.0,-217.0,142.0,957.0,-302.0,-3176.0,-462.0
2020-09-05,0.0,-595.0,-568.0,1040.0,-411.0,-178.0,-323.0
2020-09-06,0.0,-122.0,-165.0,1291.0,-338.0,18.0,-174.0
2020-09-07,0.0,-7.0,179.0,607.0,-370.0,-2460.0,-457.0
2020-09-08,0.0,-94.0,83.0,893.0,-319.0,-5535.0,-171.0
2020-09-09,0.0,-38.0,136.0,1006.0,-369.0,-4797.0,-583.0
2020-09-10,0.0,92.0,476.0,988.0,-272.0,-4986.0,-1121.0
2020-09-11,0.0,5030.0,4779.0,8640.0,2566.0,-4167.0,-1913.0
2020-09-12,0.0,4613.0,2187.0,12697.0,2648.0,91.0,-1244.0
2020-09-13,0.0,7191.0,3967.0,15659.0,3664.0,1296.0,-652.0
2020-09-14,0.0,3626.0,3165.0,7523.0,1686.0,1199.0,-1726.0
2020-09-15,0.0,3351.0,3218.0,7964.0,1063.0,-4452.0,-1107.0
2020-09-16,0.0,3663.0,3177.0,8127.0,1012.0,-4798.0,-930.0
2020-09-17,0.0,3115.0,2783.0,5350.0,357.0,-5039.0,-620.0
2020-09-18,0.0,3621.0,3555.0,7449.0,1670.0,-1232.0,-833.0
2020-09-19,0.0,3936.0,1542.0,11638.0,1749.0,243.0,-585.0
2020-09-20,0.0,5911.0,3312.0,13478.0,2730.0,523.0,-375.0
2020-09-21,0.0,2964.0,2772.0,6016.0,1459.0,1304.0,-738.0
2020-09-22,0.0,2135.0,2649.0,6087.0,878.0,-3989.0,-150.0
2020-09-23,0.0,1852.0,3110.0,6033.0,617.0,-3318.0,-76.0
2020-09-24,0.0,1719.0,2999.0,5697.0,492.0,-3311.0,-105.0
2020-09-25,0.0,1141.0,3027.0,4258.0,849.0,238.0,57.0
2020-09-26,0.0,730.0,259.0,4636.0,-1111.0,-377.0,202.0
2020-09-27,0.0,-1899.0,-1130.0,2329.0,-1227.0,-1748.0,256.0
2020-09-28,0.0,1204.0,2090.0,2064.0,265.0,3502.0,0.0
2020-09-29,0.0,679.0,2174.0,2214.0,-406.0,-2701.0,551.0
2020-09-30,0.0,1870.0,2924.0,2126.0,-243.0,-3088.0,79.0
2020-10-01,0.0,371.0,2537.0,1031.0,-463.0,-2659.0,-24.0
2020-10-02,0.0,835.0,3073.0,3482.0,915.0,1054.0,-404.0
2020-10-03,0.0,1951.0,986.0,9575.0,1185.0,-726.0,-624.0
2020-10-04,0.0,806.0,-106.0,7105.0,1087.0,-2009.0,-108.0
2020-10-05,0.0,-9.0,1365.0,1910.0,509.0,2960.0,-652.0
2020-10-06,0.0,-9.0,2043.0,3327.0,-42.0,-3061.0,-137.0
2020-10-07,0.0,117.0,2200.0,3185.0,-519.0,-2719.0,114.0
2020-10-08,0.0,308.0,2739.0,2707.0,-603.0,-2760.0,479.0
2020-10-09,0.0,1031.0,3926.0,4240.0,147.0,1015.0,88.0
2020-10-10,0.0,-374.0,203.0,5640.0,-1482.0,-465.0,346.0
2020-10-11,0.0,-2834.0,-375.0,4121.0,-1488.0,-2095.0,417.0
2020-10-12,0.0,-738.0,1178.0,-384.0,-1637.0,2153.0,772.0
2020-10-13,0.0,-1745.0,722.0,-1011.0,-2728.0,-4001.0,1552.0
2020-10-14,0.0,-1446.0,467.0,-1634.0,-5218.0,-9602.0,2886.0
2020-10-15,0.0,-1556.0,1673.0,-166.0,-2171.0,-4036.0,1626.0
2020-10-16,0.0,-1614.0,2583.0,-805.0,-2447.0,-711.0,1723.0
2020-10-17,0.0,-3745.0,-1871.0,273.0,-4549.0,-2308.0,1357.0
2020-10-18,0.0,-7267.0,-2011.0,-355.0,-4611.0,-5189.0,916.0
2020-10-19,0.0,-2221.0,-201.0,-402.0,-4141.0,-1437.0,1868.0
2020-10-20,0.0,-2928.0,-165.0,988.0,-4523.0,-6897.0,2310.0
2020-10-21,0.0,-3006.0,219.0,51.0,-4838.0,-7009.0,2526.0
2020-10-22,0.0,-2501.0,1185.0,2967.0,-3889.0,-7118.0,2148.0
2020-10-23,0.0,-3043.0,2436.0,1499.0,-4212.0,-3926.0,2366.0
2020-10-24,0.0,-7227.0,-1540.0,3740.0,-4554.0,-2422.0,1408.0
2020-10-25,0.0,-7632.0,-342.0,7343.0,-3171.0,-5137.0,653.0
2020-10-26,0.0,-4339.0,-184.0,694.0,-5168.0,-5919.0,2734.0
2020-10-27,0.0,-5230.0,247.0,868.0,-5661.0,-11012.0,3400.0
2020-10-28,0.0,-4416.0,872.0,2106.0,-5488.0,-11113.0,3211.0
2020-10-29,0.0,-5351.0,830.0,-1218.0,-6516.0,-11227.0,3370.0
2020-10-30,0.0,-6336.0,2350.0,-1474.0,-6327.0,-8409.0,3185.0
2020-10-31,0.0,-8366.0,-2303.0,1099.0,-6267.0,-5125.0,1925.0
2020-11-01,0.0,-12597.0,-3970.0,1097.0,-7426.0,-10135.0,1157.0
2020-11-02,0.0,-6043.0,-3155.0,-2281.0,-7129.0,-8163.0,3625.0
2020-11-03,0.0,-6208.0,-1391.0,-530.0,-6891.0,-11789.0,3728.0
2020-11-04,0.0,-5530.0,-1178.0,-1975.0,-7909.0,-11749.0,4121.0
2020-11-05,0.0,-3880.0,165.0,-1308.0,-7387.0,-11449.0,3837.0
2020-11-06,0.0,-4750.0,345.0,-2251.0,-7791.0,-8220.0,3906.0
2020-11-07,0.0,-9637.0,-2791.0,1779.0,-6463.0,-3519.0,1920.0
2020-11-08,0.0,-9655.0,-1599.0,4234.0,-5558.0,-6428.0,909.0
2020-11-09,0.0,-6501.0,-1804.0,-2028.0,-7861.0,-7860.0,3829.0
2020-11-10,0.0,-3331.0,8178.0,-1282.0,-7067.0,-12570.0,3557.0
2020-11-11,0.0,-19457.0,-27513.0,1623.0,-13646.0,-31648.0,9911.0
2020-11-12,0.0,-5375.0,926.0,-1811.0,-7800.0,-12878.0,4412.0
2020-11-13,0.0,-7186.0,878.0,-1703.0,-8061.0,-9627.0,4577.0
2020-11-14,0.0,-7941.0,-1429.0,2008.0,-6302.0,-3044.0,1809.0
2020-11-15,0.0,-8597.0,-1082.0,6483.0,-4553.0,-6073.0,812.0
2020-11-16,0.0,-5870.0,-1958.0,-2274.0,-7429.0,-6998.0,3523.0
2020-11-17,0.0,-6441.0,-1654.0,-1106.0,-7680.0,-11640.0,4143.0
2020-11-18,0.0,-6251.0,-1195.0,-716.0,-7538.0,-11559.0,4061.0
2020-11-19,0.0,-6425.0,-1379.0,-1851.0,-7665.0,-11431.0,4120.0
2020-11-20,0.0,-7450.0,530.0,-2911.0,-7960.0,-8056.0,4055.0
2020-11-21,0.0,-8134.0,-1827.0,-431.0,-6536.0,-2880.0,1772.0
2020-11-22,0.0,-11454.0,-2740.0,-1894.0,-7090.0,-6693.0,1087.0
2020-11-23,0.0,-5893.0,-2465.0,-3075.0,-7776.0,-6546.0,3475.0
2020-11-24,0.0,-6102.0,-1827.0,-1499.0,-7637.0,-11110.0,4009.0
